r-ID	Equation in HC-ID	Equation with names	Reaction Category	dG	KEGG	Recon1	References
r0017	HC00017_m + 4 HC00083_m + 4 HC00124_m --> 4 HC00123_m + 2 HC00011_m + 4 HC00083_c	O2(m) + 4 H+(PG)(m) + 4 Ferrocytochrome_C(m) --> 4 Ferricytochrome_C(m) + 2 H2O(m) + 4 H+(PG)(c)	EC:1.9.3.1		R00081	 	PMID:3030416
r0018	4 HC00588_c + HC00011_c --> HC00628_c + 4 HC00024_c	4 Porphobilinogen(c) + H2O(c) --> Hydroxymethylbilane(c) + 4 NH3(c)	EC:2.5.1.61	-108.744	R00084	 HMBS	PMID:1418238
r0019	HC00012_m + HC00011_m + 3 HC00083_m <-- HC00018_m + HC00019_m + 3 HC00083_c	ATP(m) + H2O(m) + 3 H+(PG)(m) <-- ADP(m) + Pi(m) + 3 H+(PG)(c)	EC:3.6.3.14	-39.16	R00086	 	PMID:2687158 UNIPROT:P06576 UNIPROT:P38606
r0020	HC00012_c --> HC00434_c + HC00023_c	ATP(c) --> cAMP(c) + PPi(c)	EC:4.6.1.1	-7.68	R00089	 ADNCYC	PMID:10966920 PMID:15659711
r0021	HC00013_c + 2 HC00056_c <=> HC00125_c + HC00014_c	NAD+(c) + 2 GSH(c) <=> GSSG(c) + NADH(c)	EC:1.8.1.7	4.18	R00094	 	PMID:10781871 PMID:12821209 PMID:237878 PMID:31912 PMID:4380255 PMID:8981046 PMID:9621574
r0022	HC00013_m + 2 HC00056_m <=> HC00125_m + HC00014_m	NAD+(m) + 2 GSH(m) <=> GSSG(m) + NADH(m)	EC:1.8.1.7	4.18	R00094	 	PMID:10781871 PMID:12821209 PMID:237878 PMID:31912 PMID:4380255 PMID:8981046 PMID:9621574
r0023	HC00014_c + 2 HC00617_c <=> HC00013_c + 2 HC00619_c	NADH(c) + 2 Ferricytochrome_b5(c) <=> NAD+(c) + 2 Ferrocytochrome_b5(c)	EC:1.6.2.2		R00100	 	PMID:2500149 PMID:6841358 PMID:7294831 PMID:8143727
r0024	HC01658_c + HC00017_c <=> HC00011_c + HC00415_c + HC00277_c	N-(omega)-Hydroxyarginine(c) + O2(c) <=> H2O(c) + NO(c) + Citrulline(c)	EC:1.14.13.39	-314.042	R00111	 	PMID:11125020 PMID:7515853
r0025	2 HC00056_c + HC00016_c <=> HC00125_c + HC00015_c	2 GSH(c) + NADP+(c) <=> GSSG(c) + NADPH(c)	EC:1.8.1.7	4.21	R00115	 -GTHO	PMID:10708558 PMID:10781871 PMID:1154381 PMID:12821209 PMID:237922 PMID:3003504 PMID:31912 PMID:4380255 PMID:6170346 PMID:8981046 PMID:9621574
r0026	2 HC00056_m + HC00016_m <=> HC00125_m + HC00015_m	2 GSH(m) + NADP+(m) <=> GSSG(m) + NADPH(m)	EC:1.8.1.7	4.21	R00115	 -GTHOm	PMID:10708558 PMID:10781871 PMID:1154381 PMID:12821209 PMID:237922 PMID:3003504 PMID:31912 PMID:4380255 PMID:6170346 PMID:8981046 PMID:9621574
r0027	2 HC00099_c + HC00016_c <=> HC00015_c + HC00389_c	2 Cysteine(c) + NADP+(c) <=> NADPH(c) + Cystine(c)	EC:1.8.1.9	12.2171	R00116	 	PMID:18042542
r0028	HC00018_c + HC00011_c --> HC00030_c + HC00019_c	ADP(c) + H2O(c) --> AMP(c) + Pi(c)	EC:3.6.1.5	-36.87	R00122	 	PMID:11278936
r0029	HC00018_s + HC00011_s --> HC00030_s + HC00019_s	ADP(s) + H2O(s) --> AMP(s) + Pi(s)	EC:3.6.1.5	-36.87	R00122	 ATPH2e	PMID:11278936
r0030	HC00012_c + HC00030_c <=> 2 HC00018_c	ATP(c) + AMP(c) <=> 2 ADP(c)	EC:2.7.4.3	-2.29	R00127	 ADK1	PMID:16798851 PMID:1969292 PMID:211388 PMID:6182143 PMID:6244157
r0031	HC00012_m + HC00030_m <=> 2 HC00018_m	ATP(m) + AMP(m) <=> 2 ADP(m)	EC:2.7.4.3	-2.29	R00127	 ADK1m	PMID:16798851 PMID:1969292 PMID:211388 PMID:6182143 PMID:6244157
r0032	HC00012_c + HC00575_c <=> HC00018_c + HC00020_c	ATP(c) + Dephospho-CoA(c) <=> ADP(c) + CoA(c)	EC:2.7.1.24	-18.8406	R00130	 DPCOAK	PMID:11923312 PMID:11994049 PMID:13163064 PMID:15893380
r0033	HC00012_m + HC00575_m --> HC00018_m + HC00020_m	ATP(m) + Dephospho-CoA(m) --> ADP(m) + CoA(m)	EC:2.7.1.24	-18.8406	R00130	 	PMID:11923312 PMID:11994049 PMID:13163064 PMID:15893380
r0034	2 HC00012_m + HC00021_m + HC00011_m + HC00024_m <=> 2 HC00018_m + HC00019_m + HC00164_m	2 ATP(m) + CO2(m) + H2O(m) + NH3(m) <=> 2 ADP(m) + Pi(m) + Carbamoyl-P(m)	EC:6.3.4.16	-30.886	R00149	 	PMID:15897806 PMID:175068 PMID:2893372 PMID:3886433 PMID:4347313 PMID:7248316
r0035	HC00025_r + HC00011_r --> HC00019_r + HC00105_r	UDP(r) + H2O(r) --> Pi(r) + UMP(r)	EC:3.6.1.6	-28.5414	R00155	 NDP7g	PMID:10858452
r0036	HC00025_s + HC00011_s <=> HC00019_s + HC00105_s	UDP(s) + H2O(s) <=> Pi(s) + UMP(s)	EC:3.6.1.6	-28.5414	R00155	 NDP7ex	PMID:10858452
r0037	HC00012_c + HC00025_c <=> HC00018_c + HC00077_c	ATP(c) + UDP(c) <=> ADP(c) + UTP(c)	EC:2.7.4.6	0	R00156	 NDPK2	PMID:132087
r0038	HC00012_c + HC00105_c <=> HC00018_c + HC00025_c	ATP(c) + UMP(c) <=> ADP(c) + UDP(c)	EC:2.7.4.4	0	R00158	 UMPK	PMID:10462544 PMID:11912132 PMID:132087 PMID:7581800 PMID:8867780
r0039	HC00077_s + HC00011_s --> HC00025_s + HC00019_s	UTP(s) + H2O(s) --> UDP(s) + Pi(s)	Enzyme catalyzed	-28.5414	R00159	 NDP8ex	PMID:15652174 PMID:16752921 PMID:17095758
r0040	HC00026_c + HC00011_c --> HC00030_c + HC00064_c	FAD(c) + H2O(c) --> AMP(c) + FMN(c)	EC:3.6.1.9 EC:3.6.1.18	-35.168	R00160	 FADDP	PMID:11579996 PMID:11946484 PMID:1315502 PMID:5636362 PMID:8881717 PMID:9211338
r0041	HC00012_c + HC00227_c --> HC00018_c + HC00028_c	ATP(c) + Pyridoxal(c) --> ADP(c) + Pyridoxal-P(c)	EC:2.7.1.35	-18.8406	R00174	 PYDXK	PMID:6088736
r0042	HC00019_c + HC00023_c + HC00029_c <=> HC00012_c + HC00075_c + HC00011_c	Pi(c) + PPi(c) + SAM(c) <=> ATP(c) + Methionine(c) + H2O(c)	EC:2.5.1.6	12.9247	R00177	 -METAT	PMID:7213623
r0043	HC00029_c <=> HC00683_c + HC00021_c	SAM(c) <=> S-Adenosylmethioninamine(c) + CO2(c)	EC:4.1.1.50	-12.9372	R00178	 ADMDC	PMID:1764068
r0044	HC00030_c + HC00011_c <=> HC00128_c + HC00024_c	AMP(c) + H2O(c) <=> IMP(c) + NH3(c)	EC:3.5.4.6	-35.5166	R00181	 AMPDA	PMID:12482028 PMID:7034783
r0045	HC00030_c + HC00011_c --> HC00019_c + HC00196_c	AMP(c) + H2O(c) --> Pi(c) + Adenosine(c)	EC:3.1.3.5	-13.16	R00183	 NTD7	PMID:1550832
r0046	HC00030_s + HC00011_s --> HC00019_s + HC00196_s	AMP(s) + H2O(s) --> Pi(s) + Adenosine(s)	EC:3.1.3.5	-13.16	R00183	 NTD7e	PMID:1550832
r0047	HC00030_m + HC00011_m --> HC00019_m + HC00196_m	AMP(m) + H2O(m) --> Pi(m) + Adenosine(m)	EC:3.1.3.5	-13.16	R00183	 	PMID:1550832
r0048	HC00012_c + HC00196_c <=> HC00018_c + HC00030_c	ATP(c) + Adenosine(c) <=> ADP(c) + AMP(c)	EC:2.7.1.20	-26	R00185	 ADNK1	PMID:132087 PMID:3030413 PMID:6315069
r0049	HC00059_c + HC00011_c --> HC00030_c + HC00019_c	PAP(c) + H2O(c) --> AMP(c) + Pi(c)	EC:3.1.3.7	-9.70082	R00188	 BPNT	PMID:10224133
r0050	HC00030_c + HC00023_c <=> HC00117_c + HC00144_c	AMP(c) + PPi(c) <=> PRPP(c) + Adenine(c)	EC:2.4.2.7	35.5	R00190	 -ADPT	PMID:6778226 PMID:692402
r0051	HC00030_s + HC00023_s <=> HC00117_s + HC00144_s	AMP(s) + PPi(s) <=> PRPP(s) + Adenine(s)	EC:2.4.2.7	35.5	R00190	 	PMID:6778226 PMID:692402
r0052	HC00434_c + HC00011_c --> HC00030_c	cAMP(c) + H2O(c) --> AMP(c)	EC:3.1.4.17	-43.55	R00191	 PDE1	PMID:10441464 PMID:11368177 PMID:14604994 PMID:17324123 PMID:3007144
r0053	HC00031_c + HC00011_c <=> HC00196_c + HC00151_c	SAH(c) + H2O(c) <=> Adenosine(c) + Homocysteine(c)	EC:3.3.1.1	23.7517	R00192	 AHC	PMID:8093102
r0054	HC00012_c + HC00032_c <-- HC00018_c + HC00076_c	ATP(c) + Pyruvate(c) <-- ADP(c) + PEP(c)	EC:2.7.1.40	25.78	R00200	 -PYK	PMID:1009117 PMID:7154942
r0055	HC00425_c + HC00011_c + HC00016_c <=> HC00032_c + HC00015_c	Methylglyoxal(c) + H2O(c) + NADP+(c) <=> Pyruvate(c) + NADPH(c)	EC:1.2.1.49	-41.0432	R00205	 	PMID:20958 PMID:4383524 PMID:4391087 PMID:6014 PMID:7107625 PMID:7107626 PMID:7144586 PMID:7763257 PMID:7993370
r0056	HC00032_m + HC00020_m + HC00013_m --> HC00033_m + HC00021_m + HC00014_m	Pyruvate(m) + CoA(m) + NAD+(m) --> Acetyl-CoA(m) + CO2(m) + NADH(m)	Complex of EC:1.2.4.1 EC:2.3.1.12 EC:1.8.1.4	-34.0638	R00209	 PDHm	PMID:11079566 PMID:2643922 PMID:8548923
r0057	HC00013_m + HC00146_m <=> HC00032_m + HC00021_m + HC00014_m	NAD+(m) + Malate(m) <=> Pyruvate(m) + CO2(m) + NADH(m)	EC:1.1.1.38 EC:1.1.1.39	5.52658	R00214	 ME1m	PMID:15989682 PMID:16171388 PMID:4407365 PMID:4778267 PMID:7757881 PMID:8106447
r0058	HC00146_c + HC00016_c <=> HC00032_c + HC00021_c + HC00015_c	Malate(c) + NADP+(c) <=> Pyruvate(c) + CO2(c) + NADPH(c)	EC:1.1.1.40	5.52658	R00216	 ME2	PMID:15989682 PMID:16171388 PMID:1935931 PMID:4407365 PMID:4778267 PMID:7757881 PMID:8106447
r0059	HC00146_m + HC00016_m <=> HC00032_m + HC00021_m + HC00015_m	Malate(m) + NADP+(m) <=> Pyruvate(m) + CO2(m) + NADPH(m)	EC:1.1.1.40	5.52658	R00216	 ME2m	PMID:15989682 PMID:16171388 PMID:1935931 PMID:4407365 PMID:4778267 PMID:7757881 PMID:8106447
r0060	HC00068_c --> HC00032_c + HC00024_c	Serine(c) --> Pyruvate(c) + NH3(c)	EC:4.3.1.17	-31.4429	R00220	 	PMID:4433562
r0061	HC00033_c + HC00011_c --> HC00020_c + HC00042_c	Acetyl-CoA(c) + H2O(c) --> CoA(c) + Acetate(c)	EC:3.1.2.1	-45.01	R00227	 ACOAHi	PMID:11322891 PMID:12545200 PMID:16951743 PMID:34392 PMID:6151837 PMID:7696329
r0062	HC00033_m + HC00011_m --> HC00020_m + HC00042_m	Acetyl-CoA(m) + H2O(m) --> CoA(m) + Acetate(m)	EC:3.1.2.1	-45.01	R00227	 	PMID:11322891 PMID:12545200 PMID:16951743 PMID:34392 PMID:6151837 PMID:7696329
r0063	HC00086_c --> HC00033_c + HC00021_c	Malonyl-CoA(c) --> Acetyl-CoA(c) + CO2(c)	EC:4.1.1.9	-20.5153	R00233	 MCD	PMID:101148 PMID:10455107 PMID:15003260 PMID:4180063 PMID:4731972 PMID:5578610 PMID:9869665
r0064	HC00086_m --> HC00033_m + HC00021_m	Malonyl-CoA(m) --> Acetyl-CoA(m) + CO2(m)	EC:4.1.1.9	-20.5153	R00233	 MCDm	PMID:101148 PMID:10455107 PMID:15003260 PMID:4180063 PMID:4731972 PMID:5578610 PMID:9869665
r0065	HC00086_p --> HC00033_p + HC00021_p	Malonyl-CoA(p) --> Acetyl-CoA(p) + CO2(p)	EC:4.1.1.9	-20.5153	R00233	 MCDp	PMID:101148 PMID:10455107 PMID:15003260 PMID:4180063 PMID:4731972 PMID:5578610 PMID:9869665
r0066	HC00012_c + HC00042_c + HC00020_c --> HC00030_c + HC00023_c + HC00033_c	ATP(c) + Acetate(c) + CoA(c) --> AMP(c) + PPi(c) + Acetyl-CoA(c)	EC:6.2.1.1	-6.22	R00235	 ACS	PMID:10843999 PMID:11150295 PMID:2884217 PMID:4737256 PMID:5995
r0067	HC00012_m + HC00042_m + HC00020_m --> HC00030_m + HC00023_m + HC00033_m	ATP(m) + Acetate(m) + CoA(m) --> AMP(m) + PPi(m) + Acetyl-CoA(m)	EC:6.2.1.1	-6.22	R00235	 ACSm	PMID:10843999 PMID:11150295 PMID:2884217 PMID:4737256 PMID:5995
r0068	HC01672_c + HC00020_c --> HC00030_c + HC00033_c	Acetyl_adenylate(c) + CoA(c) --> AMP(c) + Acetyl-CoA(c)	EC:6.2.1.1	-102.937	R00236	 	PMID:10843999 PMID:14086739 PMID:238571 PMID:2901103
r0069	2 HC00033_c <=> HC00020_c + HC00282_c	2 Acetyl-CoA(c) <=> CoA(c) + Acetoacetyl-CoA(c)	EC:2.3.1.9	26.94	R00238	 ACACT1	PMID:10064897 PMID:10806397 PMID:1121274 PMID:11330060 PMID:15733928 PMID:1679347 PMID:16927236 PMID:17236799 PMID:1735445 PMID:1979337 PMID:3194209 PMID:6131897 PMID:6378901 PMID:7911016 PMID:8241273
r0070	2 HC00033_m <=> HC00020_m + HC00282_m	2 Acetyl-CoA(m) <=> CoA(m) + Acetoacetyl-CoA(m)	EC:2.3.1.9	26.94	R00238	 ACACT1rm	PMID:10064897 PMID:10806397 PMID:1121274 PMID:11330060 PMID:15733928 PMID:1679347 PMID:16927236 PMID:17236799 PMID:1735445 PMID:1979337 PMID:3194209 PMID:6131897 PMID:6378901 PMID:7911016 PMID:8241273
r0071	2 HC00033_p <=> HC00020_p + HC00282_p	2 Acetyl-CoA(p) <=> CoA(p) + Acetoacetyl-CoA(p)	EC:2.3.1.9	26.94	R00238	 ACACT1x	PMID:10064897 PMID:10806397 PMID:1121274 PMID:11330060 PMID:15733928 PMID:1679347 PMID:16927236 PMID:17236799 PMID:1735445 PMID:1979337 PMID:3194209 PMID:6131897 PMID:6378901 PMID:7911016 PMID:8241273
r0072	HC00012_m + HC00034_m --> HC00018_m + HC01092_m	ATP(m) + Glutamate(m) --> ADP(m) + Glutamyl-5P(m)	EC:2.7.2.11	11.0113	R00239	 GLU5Km	PMID:10736367 PMID:8761662
r0073	HC00034_m + HC00013_m + HC00011_m <=> HC00035_m + HC00014_m + HC00024_m	Glutamate(m) + NAD+(m) + H2O(m) <=> AKG(m) + NADH(m) + NH3(m)	EC:1.4.1.3 EC:1.4.1.2	36.3707	R00243	 GLUDxm	PMID:11254391 PMID:3377777
r0074	HC00694_m + HC00013_m + HC00011_m <=> HC00034_m + HC00014_m	L-Glutamate_5-semialdehyde(m) + NAD+(m) + H2O(m) <=> Glutamate(m) + NADH(m)	EC:1.5.1.12	-41.0432	R00245	 	PMID:1286669 PMID:2211729
r0075	HC00034_m + HC00011_m + HC00016_m <=> HC00035_m + HC00015_m + HC00024_m	Glutamate(m) + H2O(m) + NADP+(m) <=> AKG(m) + NADPH(m) + NH3(m)	EC:1.4.1.3 EC:1.4.1.4	36.3707	R00248	 GLUDym	PMID:11254391 PMID:3377777
r0076	HC00012_c + 2 HC00011_c + HC00856_c --> HC00018_c + HC00019_c + HC00034_c	ATP(c) + 2 H2O(c) + 5-Oxoproline(c) --> ADP(c) + Pi(c) + Glutamate(c)	EC:3.5.2.9	-17.3334	R00251	 OPAHir	PMID:10078874 PMID:9516961
r0077	HC00012_c + HC00034_c + HC00024_c --> HC00018_c + HC00019_c + HC00067_c	ATP(c) + Glutamate(c) + NH3(c) --> ADP(c) + Pi(c) + Glutamine(c)	EC:6.3.1.2	-8.76716	R00253	 GLNS	PMID:11080211 PMID:1356223 PMID:14583610 PMID:16213501 PMID:7595668 PMID:8838581 PMID:9053810
r0078	HC00067_m + HC00011_m --> HC00034_m + HC00024_m	Glutamine(m) + H2O(m) --> Glutamate(m) + NH3(m)	EC:3.5.1.2 EC:3.5.1.38	-19.7743	R00256	 GLUNm	PMID:11015561 PMID:11130979 PMID:17267261 PMID:6704422
r0079	HC00012_c + HC00067_c + HC00011_c + HC00564_c --> HC00030_c + HC00023_c + HC00013_c + HC00034_c	ATP(c) + Glutamine(c) + H2O(c) + Deamido-NAD(c) --> AMP(c) + PPi(c) + NAD+(c) + Glutamate(c)	EC:6.3.5.1	-34.5118	R00257	 NADS2	PMID:11947665 PMID:12547821 PMID:2107886
r0080	HC00048_c + HC00035_c <=> HC00032_c + HC00034_c	Alanine(c) + AKG(c) <=> Pyruvate(c) + Glutamate(c)	EC:2.6.1.2	-3.93	R00258	 ALATA_L	PMID:15663181 PMID:2088925 PMID:454616
r0081	HC00048_m + HC00035_m <=> HC00032_m + HC00034_m	Alanine(m) + AKG(m) <=> Pyruvate(m) + Glutamate(m)	EC:2.6.1.2	-3.93	R00258	 	PMID:15663181 PMID:2088925 PMID:454616
r0082	HC01434_c <=> HC00035_c + HC00021_c	Oxalosuccinate(c) <=> AKG(c) + CO2(c)	EC:1.1.1.42	-12.9372	R00268	 	PMID:16489927 PMID:9866202
r0083	HC01434_m <=> HC00035_m + HC00021_m	Oxalosuccinate(m) <=> AKG(m) + CO2(m)	EC:1.1.1.42	-12.9372	R00268	 	PMID:16489927 PMID:9866202
r0084	HC01434_p <=> HC00035_p + HC00021_p	Oxalosuccinate(p) <=> AKG(p) + CO2(p)	EC:1.1.1.42	-12.9372	R00268	 	PMID:16489927 PMID:9866202
r0085	HC00591_c + HC00011_c --> HC00035_c + HC00024_c	2-Oxoglutaramate(c) + H2O(c) --> AKG(c) + NH3(c)	EC:3.5.1.3	-19.7743	R00269	 	PMID:3003502 PMID:319948 PMID:4436326 PMID:5114531 PMID:894284
r0086	HC00591_m + HC00011_m --> HC00035_m + HC00024_m	2-Oxoglutaramate(m) + H2O(m) --> AKG(m) + NH3(m)	EC:3.5.1.3	-19.7743	R00269	 	PMID:3003502 PMID:319948 PMID:4436326 PMID:5114531 PMID:894284
r0087	HC00036_c + 2 HC00056_c --> HC00125_c + 2 HC00011_c	H2O2(c) + 2 GSH(c) --> GSSG(c) + 2 H2O(c)	EC:1.11.1.9	-312.65	R00274	 GTHP	PMID:12427732 PMID:2229017 PMID:25178 PMID:28781 PMID:4209402 PMID:6882790 PMID:7437054
r0088	HC00036_s + 2 HC00056_s --> HC00125_s + 2 HC00011_s	H2O2(s) + 2 GSH(s) --> GSSG(s) + 2 H2O(s)	EC:1.11.1.9	-312.65	R00274	 GTHPe	PMID:12427732 PMID:2229017 PMID:25178 PMID:28781 PMID:4209402 PMID:6882790 PMID:7437054
r0089	HC00036_m + 2 HC00056_m --> HC00125_m + 2 HC00011_m	H2O2(m) + 2 GSH(m) --> GSSG(m) + 2 H2O(m)	EC:1.11.1.9	-312.65	R00274	 GTHPm	PMID:12427732 PMID:2229017 PMID:25178 PMID:28781 PMID:4209402 PMID:6882790 PMID:7437054
r0090	HC00475_c + HC00011_c + HC00017_c --> HC00036_c + HC00028_c + HC00024_c	Pyridoxamine-P(c) + H2O(c) + O2(c) --> H2O2(c) + Pyridoxal-P(c) + NH3(c)	EC:1.4.3.5	-107.068	R00277	 PYAM5POr	PMID:6088736 PMID:9601034
r0091	HC00017_c + HC00459_c <=> HC00036_c + HC00028_c	O2(c) + Pyridoxine-P(c) <=> H2O2(c) + Pyridoxal-P(c)	EC:1.4.3.5	-117.397	R00278	 PDX5PO	PMID:6088736 PMID:9601034
r0092	HC00038_c + HC00011_c + 2 HC00013_c --> 2 HC00014_c + HC00162_c	UDP-glucose(c) + H2O(c) + 2 NAD+(c) --> 2 NADH(c) + UDP-glucuronate(c)	EC:1.1.1.22	-19.1881	R00286	 UDPGD	PMID:9737970 PMID:9850599
r0093	HC00038_s + HC00011_s --> HC00103_s + HC00105_s	UDP-glucose(s) + H2O(s) --> Glucose-1P(s) + UMP(s)	EC:3.6.1.45	-38.9917	R00287	 	PMID:11579996 PMID:11946484 PMID:12429023 PMID:12846830 PMID:1315502 PMID:2822037 PMID:2848456 PMID:3001038 PMID:4403504 PMID:7532398 PMID:7860751 PMID:8001561
r0094	HC00077_c + HC00103_c --> HC00023_c + HC00038_c	UTP(c) + Glucose-1P(c) --> PPi(c) + UDP-glucose(c)	EC:2.7.7.9	4.47988	R00289	 GALU	PMID:223665 PMID:4433565 PMID:4436332 PMID:6318818 PMID:6320876 PMID:8612650
r0095	HC00038_c <=> HC00057_c	UDP-glucose(c) <=> UDP-galactose(c)	EC:5.1.3.2	0	R00291	 UDPG4E	PMID:191453 PMID:845161
r0096	HC00905_m + HC01846_m --> HC00041_m	Protoporphyrin(m) + Fe2+(m) --> Heme(m)	EC:4.99.1.1		R00310	 	PMID:11175906 PMID:11215517 PMID:11853551 PMID:11947230 PMID:1624416 PMID:182145 PMID:2310748 PMID:3196293 PMID:3702737 PMID:406931 PMID:6425295 PMID:7309736 PMID:8818224 PMID:9712849 PMID:9808757
r0097	HC00012_c + HC00042_c --> HC00023_c + HC01672_c	ATP(c) + Acetate(c) --> PPi(c) + Acetyl_adenylate(c)	EC:6.2.1.1	98.976	R00316	 	PMID:10843999 PMID:14086739 PMID:238571 PMID:2901103
r0098	HC00043_s + HC00011_s <=> HC00141_s + HC00019_s	GDP(s) + H2O(s) <=> GMP(s) + Pi(s)	EC:3.6.1.6 EC:3.6.1.42	-36.91	R00328	 NDP3ex	PMID:8529670
r0099	HC00012_c + HC00043_c <=> HC00018_c + HC00051_c	ATP(c) + GDP(c) <=> ADP(c) + GTP(c)	EC:2.7.4.6	0.13	R00330	 NDPK1	PMID:11768308
r0100	HC00012_m + HC00043_m <=> HC00018_m + HC00051_m	ATP(m) + GDP(m) <=> ADP(m) + GTP(m)	EC:2.7.4.6	0.13	R00330	 NDPK1m	PMID:11768308
r0101	HC00012_c + HC00141_c <=> HC00018_c + HC00043_c	ATP(c) + GMP(c) <=> ADP(c) + GDP(c)	EC:2.7.4.8	-2.25	R00332	 GK1	PMID:8663313
r0102	HC00012_m + HC00141_m <-- HC00018_m + HC00043_m	ATP(m) + GMP(m) <-- ADP(m) + GDP(m)	EC:2.7.4.8	-2.25	R00332	 GK1m	PMID:8663313
r0103	HC00051_s + HC00011_s --> HC00043_s + HC00019_s	GTP(s) + H2O(s) --> GDP(s) + Pi(s)	EC:3.6.5.5 EC:3.6.5.1 EC:3.6.5.6 EC:3.6.5.2 EC:3.6.5.3 EC:3.6.5.4	-39.29	R00335	 NTP3e	PMID:15652174 PMID:16752921 PMID:17095758
r0104	HC00013_c + HC00146_c <=> HC00044_c + HC00014_c	NAD+(c) + Malate(c) <=> OAA(c) + NADH(c)	EC:1.1.1.37	25.86	R00342	 MDH	PMID:6625603 PMID:7305925
r0105	HC00013_m + HC00146_m <=> HC00044_m + HC00014_m	NAD+(m) + Malate(m) <=> OAA(m) + NADH(m)	EC:1.1.1.37	25.86	R00342	 MDHm	PMID:6625603 PMID:7305925
r0106	HC00012_m + HC00032_m + HC00253_m <=> HC00018_m + HC00019_m + HC00044_m	ATP(m) + Pyruvate(m) + HCO3-(m) <=> ADP(m) + Pi(m) + OAA(m)	EC:6.4.1.1	-4.49662	R00344	 PCm	PMID:12437512 PMID:7918683
